1,1.45
1,1.45
6,5.5
8,4.5
1,1.5333
4,4.45
1,1.75
1,1.5
1,1.45
1,1.5333
1,1.45
1,1.4167
1,1.5833
1,3.45
1,1.7
1,1.5
1,1.5333
1,1.5
4,4.4167
6,6.25
1,1.75
1,1.5833
1,1.5833
1,1.45
1,1.5333
1,1.4167
6,3.4167
1,3.4167
4,5.25
1,1.5333
1,1.5333
1,1.5
1,1.45
1,1.5833
1,3.5
1,1.5
4,4.4167
1,3.7
1,1.5
1,1.5
1,1.5
1,3.4167
1,1.5833
1,1.5833
1,1.4167
1,1.5333
1,3.45
4,4.4167
1,1.5833
1,1.45
6,3.45
1,1.7
8,4.7
1,3.45
1,1.5833
4,6.1667
1,3.6667
1,1.5333
1,3.5333
1,1.45
1,1.4167
1,1.5833
1,3.5
1,1.5833
1,3.3333
6,4.4167
1,1.75
1,1.5
1,1.4167
1,1.4167
1,3.4167
1,1.4167
6,3.0482
6,3.4167
1,1.5333
1,1.8333
1,3.5833
1,1.2
6,3.5333
4,4.5833
1,1.5
1,1.3667
1,1.3667
1,1.45
1,1.7
4,4.4167
6,3.4167
1,1.4167
1,1.5
1,1.5333
1,1.4
1,7
1,1.5333
1,1.5333
6,4.45
1,1.45
6,5.25
1,1.4167
1,1.5833
1,1.5333
1,1.5333
1,1.5333
1,1.5333
1,1.4167
1,1.5833
4,4.5333
1,1.45
1,1.5333
1,1.4167
4,4.4167
1,1.5333
1,1.4167
1,1.5333
1,1.45
6,3.4167
6,3.5333
1,1.5333
1,1.5
1,3.45
1,3.5
4,4.4167
1,3.5333
6,3.4167
1,1.45
1,1.5
1,1.6667
6,3.5333
1,3.5333
4,4.4167
1,1.4167
1,1.5333
1,3.5333
1,1.5333
1,1.5333
1,3.5333
1,1.4167
1,1.45
6,4.4167
1,1.45
1,1.7
6,3.4167
1,3.3667
1,3.5333
4,4.6667
1,1.7
4,6.25
1,1.5333
1,1.4167
